ts_ms,x,y,state
0,0.000,0.000,0
100,1.250,0.001,0
210,2.500,0.007,0
324,4.250,-0.025,0
435,5.500,-0.019,0
547,7.000,-0.024,0
660,8.500,0.029,0
772,9.500,0.002,0
884,11.250,0.060,0
996,12.500,-0.057,0
1108,14.000,0.057,0
1218,15.250,0.020,0
1330,16.750,-0.052,0
1442,18.000,-0.038,0
1555,19.500,-0.002,0
1666,21.000,0.016,0
1778,22.000,-0.067,0
1888,23.750,0.072,0
2000,25.000,-0.010,0
2109,26.250,0.033,0
2222,27.750,-0.033,0
2337,29.250,-0.013,0
2448,30.250,0.043,0
2561,32.000,-0.037,0
2671,33.250,-0.067,0
2783,34.750,-0.077,0
2897,35.480,0.000,2
3007,36.200,0.000,2
3119,36.920,0.000,2
3228,37.520,0.000,2
3337,38.120,0.000,2
3450,38.840,0.000,2
3563,39.560,0.000,2
3672,40.160,0.000,2
3786,40.880,0.000,2
3895,41.360,0.000,2
4006,42.080,0.000,2
4120,42.680,0.000,2
4231,43.520,0.000,2
4340,44.000,0.000,2
4453,44.840,0.000,2
4562,45.440,3.500,2
4675,46.160,3.500,2
4788,46.880,3.500,2
4900,47.360,3.500,2
5013,48.200,3.500,2
5124,48.800,3.500,2
5236,49.400,3.500,2
5346,50.240,3.500,2
5457,50.720,3.500,2
5568,51.560,3.500,2
5677,52.040,3.500,2
5786,52.880,3.500,2
5899,53.360,3.500,2
6009,54.200,3.500,2
6119,54.680,3.500,2
6230,55.520,3.500,2
6341,56.120,3.500,2
6453,56.840,3.500,2
6565,57.440,3.500,2
6675,58.040,3.500,2
6785,58.880,3.500,2
6895,59.360,3.500,2
7009,60.200,3.500,2
7119,60.800,3.500,2
7232,61.520,3.500,2
7345,62.000,3.500,2
7456,62.840,3.500,2
7567,63.440,3.500,2
7677,64.160,3.500,2
7786,64.640,3.500,2
7900,65.480,0.000,2
8010,66.080,0.000,2
8120,66.800,0.000,2
8230,67.400,0.000,2
8344,68.120,0.000,2
8454,68.720,0.000,2
8564,69.440,0.000,2
8675,70.040,0.000,2
8785,70.640,0.000,2
8898,71.480,0.000,2
9009,71.960,0.000,2
9119,72.800,0.000,2
9230,73.400,0.000,2
9339,74.120,0.000,2
9449,74.600,0.000,2
9563,75.830,-0.010,0
9673,77.080,-0.018,0
9784,78.580,-0.054,0
9892,79.830,0.054,0
10003,81.330,-0.011,0
10113,82.580,-0.018,0
10224,84.080,0.061,0
10336,85.580,-0.003,0
10447,86.580,-0.020,0
10556,88.080,0.013,0
10668,89.330,0.043,0
10779,90.830,-0.004,0
10889,92.330,-0.006,0
10999,93.580,0.002,0
11109,95.080,-0.028,0
11222,96.330,-0.049,0
11333,97.830,0.019,0
11445,99.330,0.030,0
11559,100.330,0.004,0
11669,102.080,-0.041,0
11780,103.330,-0.032,0
11893,104.830,-0.006,0
12006,106.330,0.040,0
12114,107.330,-0.030,0
12224,109.080,-0.025,0
12337,110.080,0.013,0
12446,111.830,0.054,0
12556,112.830,-0.000,0
12664,114.330,-0.007,0
12776,115.580,-0.028,0
12886,117.330,-0.019,0
12996,118.330,-0.034,0
13108,120.080,-0.056,0
13217,121.080,0.017,0
13328,122.830,-0.054,0
13438,124.080,-0.002,0
13549,125.580,-0.040,0
13661,126.830,0.032,0
13772,128.330,0.045,0
13882,129.580,-0.020,0
13996,131.080,-0.012,0
14107,132.330,0.020,0
14216,133.580,-0.093,0
14328,135.330,0.068,0
14439,136.580,-0.029,0
14548,138.080,0.071,0
14659,139.330,0.076,0
14772,140.830,0.040,0
14881,142.080,0.055,0
14992,143.580,0.017,0
15104,145.080,0.027,0
15216,146.080,0.006,0
15328,147.830,0.014,0
15442,149.080,-0.007,0
15551,150.280,-0.011,2
15663,150.880,-0.040,2
15774,151.280,-0.016,2
15887,151.980,0.012,2
15997,152.380,-0.011,2
16108,153.080,-0.004,2
16220,153.580,0.076,2
16331,154.180,0.029,2
16444,154.780,-0.030,2
16556,155.180,0.051,2
16666,155.880,-0.013,2
16777,156.280,-0.001,2
16888,156.980,-0.015,2
16997,157.380,0.001,2
17108,158.080,-0.023,2
17218,158.480,-0.015,2
17329,159.180,-0.011,2
17438,159.680,-0.033,2
17548,160.280,-0.022,2
17661,160.780,0.019,2
17773,161.380,0.040,2
17887,161.980,0.016,2
17996,162.380,-0.013,2
18107,163.080,-0.013,2
18217,163.480,-0.017,2
18325,164.080,0.001,2
18435,164.580,-0.024,2
18546,165.280,0.050,2
18659,165.680,-0.028,2
18771,166.380,0.014,2
18882,166.880,0.006,2
18992,167.480,0.041,2
19104,167.980,-0.031,2
19213,168.580,0.016,2
19324,169.080,0.007,2
19434,169.580,0.019,2
19542,170.180,0.016,2
19652,170.780,0.041,2
19762,171.180,0.055,2
19874,171.880,-0.025,2
19986,172.380,0.005,2
20099,172.880,-0.012,2
20208,173.580,0.001,2
20319,173.980,0.015,2
20427,174.680,0.054,2
20538,175.080,0.002,2
20651,175.780,0.025,2
20761,176.280,-0.017,2
20872,176.880,0.018,2
20982,177.380,-0.025,2
21094,177.980,-0.004,2
21205,178.480,-0.024,2
21317,179.080,-0.012,2
21426,179.680,0.004,2
