sample_id,execution_time_us
0,20
1,0
2,2
3,1
4,2
5,37
6,2
7,0
8,2
9,0
10,1
11,0
12,2
13,0
14,26
15,0
16,2
17,1
18,2
19,0
20,2
21,0
22,2
23,1
24,2
25,1
26,2
27,0
28,3
29,0
30,2
31,0
32,2
33,0
34,2
35,0
36,2
37,1
38,1
39,1
40,2
41,0
42,2
43,0
44,2
45,0
46,2
47,1
48,2
49,1
50,2
51,0
52,2
53,0
54,2
55,0
56,2
57,0
58,2
59,0
60,2
61,0
62,2
63,0
64,2
65,1
66,2
67,1
68,2
69,0
70,2
71,1
72,2
73,5
74,3
75,0
76,2
77,1
78,2
79,176
80,2
81,0
82,2
83,0
84,2
85,0
86,2
87,0
88,2
89,0
90,2
91,0
92,2
93,1
94,2
95,0
96,3
97,0
98,2
99,0
100,3
101,1
102,1
103,1
104,1
105,1
106,2
107,1
108,3
109,1
110,2
111,0
112,2
113,1
114,2
115,1
116,2
117,1
118,2
119,48
120,2
121,0
122,2
123,1
124,2
125,0
126,2
127,0
128,2
129,0
130,2
131,1
132,2
133,1
134,2
135,0
136,2
137,0
138,2
139,0
140,2
141,1
142,2
143,0
144,2
145,0
146,2
147,0
148,2
149,0
150,2
151,1
152,2
153,1
154,2
155,0
156,2
157,1
158,2
159,0
160,2
161,1
162,2
163,0
164,3
165,1
166,2
167,0
168,2
169,1
170,2
171,1
172,2
173,1
174,2
175,0
176,2
177,1
178,2
179,1
180,2
181,0
182,2
183,1
184,2
185,1
186,2
187,1
188,2
189,1
190,2
191,0
192,2
193,0
194,2
195,0
196,2
197,1
198,2
199,0
200,2
201,0
202,2
203,0
204,2
205,1
206,46
207,1
208,2
209,0
210,2
211,1
212,2
213,0
214,2
215,0
216,2
217,1
218,2
219,1
220,2
221,1
222,2
223,1
224,2
225,0
226,2
227,1
228,2
229,1
230,2
231,0
232,2
233,0
234,2
235,0
236,3
237,1
238,2
239,1
240,2
241,1
242,2
243,0
244,2
245,1
246,2
247,0
248,2
249,1
250,2
251,1
252,2
253,1
254,2
255,0
256,2
257,0
258,2
259,0
260,2
261,0
262,2
263,1
264,2
265,0
266,2
267,0
268,2
269,1
270,2
271,0
272,1
273,0
274,2
275,0
276,2
277,0
278,2
279,0
280,2
281,0
282,1
283,0
284,2
285,0
286,2
287,1
288,2
289,1
290,2
291,1
292,2
293,0
294,3
295,8
296,2
297,1
298,1
299,1
300,2
301,1
302,3
303,0
304,1
305,0
306,2
307,1
308,2
309,1
310,2
311,0
312,2
313,1
314,2
315,0
316,2
317,0
318,1
319,1
320,2
321,0
322,1
323,1
324,2
325,0
326,2
327,0
328,2
329,0
330,2
331,1
332,1
333,0
334,3
335,1
336,2
337,1
338,2
339,1
340,2
341,1
342,2
343,0
344,12
345,0
346,2
347,1
348,2
349,0
350,2
351,1
352,2
353,0
354,2
355,0
356,2
357,1
358,2
359,0
360,3
361,0
362,2
363,1
364,1
365,0
366,2
367,0
368,2
369,1
370,2
371,0
372,2
373,1
374,2
375,1
376,2
377,0
378,2
379,1
380,2
381,1
382,2
383,1
384,2
385,1
386,2
387,0
388,2
389,0
390,2
391,0
392,2
393,0
394,35
395,1
396,2
397,0
398,2
399,0
400,2
401,0
402,2
403,0
404,2
405,1
406,2
407,0
408,3
409,0
410,2
411,0
412,2
413,1
414,2
415,1
416,2
417,0
418,2
419,0
420,2
421,0
422,3
423,1
424,2
425,0
426,2
427,0
428,2
429,0
430,2
431,1
432,2
433,0
434,2
435,0
436,2
437,0
438,2
439,0
440,2
441,0
442,2
443,1
444,2
445,0
446,2
447,0
448,2
449,0
450,2
451,0
452,2
453,1
454,2
455,0
456,2
457,0
458,2
459,1
460,2
461,1
462,2
463,1
464,2
465,1
466,2
467,1
468,2
469,0
470,1
471,1
472,2
473,1
474,2
475,0
476,2
477,1
478,2
479,0
480,2
481,0
482,2
483,0
484,2
485,0
486,2
487,1
488,2
489,1
490,2
491,1
492,2
493,0
494,2
495,0
496,2
497,1
498,2
499,1
500,2
501,0
502,2
503,1
504,2
505,1
506,2
507,0
508,2
509,1
510,2
511,0
512,2
513,0
514,2
515,0
516,2
517,1
518,2
519,1
520,1
521,0
522,1
523,0
524,2
525,0
526,1
527,0
528,2
529,0
530,2
531,0
532,2
533,1
534,2
535,1
536,2
537,0
538,2
539,1
540,2
541,1
542,2
543,1
544,2
545,0
546,2
547,0
548,2
549,1
550,2
551,0
552,3
553,1
554,2
555,0
556,2
557,0
558,2
559,0
560,2
561,0
562,2
563,0
564,2
565,1
566,2
567,1
568,2
569,1
570,2
571,1
572,2
573,1
574,2
575,1
576,2
577,1
578,2
579,1
580,2
581,0
582,2
583,0
584,2
585,1
586,2
587,0
588,2
589,0
590,2
591,1
592,2
593,0
594,3
595,0
596,2
597,0
598,2
599,1
600,2
601,0
602,2
603,0
604,2
605,0
606,2
607,1
608,2
609,1
